층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대_밑_좌우시야각,무대_위_좌우시야각,무대가_보이는_면적
1층,C블록,1,12,1층 C블록1열 12,-319,737,-93,1층 C블록1열 1,34.46931100452901,91.56007999613433,3850.2611721183675
1층,D블록,1,1,1층 D블록1열 1,-484,725,-93,1층 B블록1열 9,33.36547472085918,86.85000492815279,3548.084806312636
1층,D블록,1,2,1층 D블록1열 2,-539,720,-93,1층 B블록1열 8,32.90923144370064,84.83237084310342,3439.487356395463
1층,D블록,1,3,1층 D블록1열 3,-595,715,-93,1층 B블록1열 7,32.39544306906013,82.53753141547013,3327.290987508121
1층,D블록,1,4,1층 D블록1열 4,-650,706,-93,1층 B블록1열 6,31.899672343987962,80.15842768781036,3223.400733105035
1층,D블록,1,5,1층 D블록1열 5,-706,699,-93,1층 B블록1열 5,31.32299534155554,77.4615149252581,3115.521550390053
1층,D블록,1,6,1층 D블록1열 6,-761,691,-93,1층 B블록1열 4,30.73133106283122,74.64063267153598,3013.55863308443
1층,D블록,1,7,1층 D블록1열 7,-816,682,-93,1층 B블록1열 3,30.11503976347315,71.66593211252332,2916.07069905793
1층,D블록,1,8,1층 D블록1열 8,-871,673,-93,1층 B블록1열 2,29.466511388263644,68.54852077852537,2822.7474770925314
1층,D블록,1,9,1층 D블록1열 9,-927,664,-93,1층 B블록1열 1,28.776231507932064,65.26480029565936,2732.6003189921726
1층,E블록,1,1,1층 E블록1열 1,-1086,633,-93,1층 A블록1열 9,26.736015521111113,55.75506449604009,2510.557266311479
1층,E블록,1,2,1층 E블록1열 2,-1133,624,-93,1층 A블록1열 8,26.105722717688305,52.97672864145738,2453.477838947239
1층,E블록,1,3,1층 E블록1열 3,-1178,613,-93,1층 A블록1열 7,25.507349874530235,50.37153009730537,2403.4787161246622
1층,E블록,1,4,1층 E블록1열 4,-1224,602,-93,1층 A블록1열 6,24.88710026806733,47.77479730075846,2355.543787228317
1층,E블록,1,5,1층 E블록1열 5,-1270,591,-93,1층 A블록1열 5,24.261871868609173,45.26162431083319,2310.7541360674973
1층,E블록,1,6,1층 E블록1열 6,-1315,580,-93,1층 A블록1열 4,23.648286881839024,42.89550127713526,2269.8563630760864
1층,E블록,1,7,1층 E블록1열 7,-1361,568,-93,1층 A블록1열 3,23.021977716754403,40.57816751158986,2230.9416965759915
1층,E블록,1,8,1층 E블록1열 8,-1406,555,-93,1층 A블록1열 2,22.41184275616602,38.41329567232848,2195.563828823904
1층,E블록,1,9,1층 E블록1열 9,-1451,542,-93,1층 A블록1열 1,21.80232043384822,36.35742212170355,2162.238505622162
1층,A블록,2,1,1층 A블록2열 1,1478,634,-76,1층 E블록2열 9,21.31492156276599,35.463868387961945,2100.5227298867158
1층,A블록,2,2,1층 A블록2열 2,1432,646,-76,1층 E블록2열 8,21.8923365904562,37.48302193855476,2130.401270775645
1층,A블록,2,3,1층 A블록2열 3,1386,659,-76,1층 E블록2열 7,22.467858014149627,39.61110876883228,2161.9201309303235
1층,A블록,2,4,1층 A블록2열 4,1339,671,-76,1층 E블록2열 6,23.05783066270251,41.88189123335856,2196.670961908614
1층,A블록,2,5,1층 A블록2열 5,1293,683,-76,1층 E블록2열 5,23.63173033143033,44.199368829478495,2232.9914170024226
1층,A블록,2,6,1층 A블록2열 6,1246,694,-76,1층 E블록2열 4,24.21864916110054,46.65115103731138,2273.2320502876305
1층,A블록,2,7,1층 A블록2열 7,1200,705,-76,1층 E블록2열 3,24.78656791014728,49.12548826400626,2315.412985976648
1층,A블록,2,8,1층 A블록2열 8,1153,716,-76,1층 E블록2열 2,25.3602664310607,51.71411639289168,2361.7381555516577
1층,A블록,2,9,1층 A블록2열 9,1107,725,-76,1층 E블록2열 1,25.923036217736772,54.2963935526623,2411.130070628625
1층,B블록,2,1,1층 B블록2열 1,952,756,-76,1층 D블록2열 10,27.731687229531275,63.07817409854682,2601.7475228312887
1층,B블록,2,2,1층 B블록2열 2,900,764,-76,1층 D블록2열 9,28.320722864066322,65.98480669388285,2675.3173840349664
1층,B블록,2,3,1층 B블록2열 3,848,773,-76,1층 D블록2열 8,28.878474161065828,68.79717591544258,2751.7227577009808
1층,B블록,2,4,1층 B블록2열 4,796,782,-76,1층 D블록2열 7,29.410010062870448,71.49758444955874,2830.984294886994
1층,B블록,2,5,1층 B블록2열 5,744,789,-76,1층 D블록2열 6,29.93424941806379,74.10519954554303,2914.3472087544087
1층,B블록,2,6,1층 B블록2열 6,692,796,-76,1층 D블록2열 5,30.428780991310475,76.56228347727229,2999.317831715236
1층,B블록,2,7,1층 B블록2열 7,640,804,-76,1층 D블록2열 4,30.878314627673817,78.82235290811352,3083.6127283240467
1층,B블록,2,8,1층 B블록2열 8,587,811,-76,1층 D블록2열 3,31.31355322524277,80.96585656707306,3170.298105709939
1층,B블록,2,9,1층 B블록2열 9,535,815,-76,1층 D블록2열 2,31.74075712445372,82.96256485810592,3258.042091171677
1층,B블록,2,10,1층 B블록2열 10,482,820,-76,1층 D블록2열 1,32.12465769352309,84.76880312223008,3343.506668956064
1층,C블록,2,1,1층 C블록2열 1,324,832,-76,1층 C블록2열 12,33.052455001018465,89.00828155624379,3573.1946539419732
1층,C블록,2,2,1층 C블록2열 2,265,835,-76,1층 C블록2열 11,33.31575296739651,90.16547342862073,3644.587918772234
1층,C블록,2,3,1층 C블록2열 3,206,839,-76,1층 C블록2열 10,33.50264634267173,91.0251103732728,3700.4660933243895
1층,C블록,2,4,1층 C블록2열 4,147,840,-76,1층 C블록2열 9,33.675669972718566,91.7434066138368,3749.307278344371
1층,C블록,2,5,1층 C블록2열 5,88,841,-76,1층 C블록2열 8,33.786138381872156,92.20752229993218,3781.925639925889
1층,C블록,2,6,1층 C블록2열 6,29,842,-76,1층 C블록2열 7,33.833051902096294,92.41831976196873,3797.023464121009
1층,C블록,2,7,1층 C블록2열 7,-29,842,-76,1층 C블록2열 6,33.833051902096294,92.41831976196873,3797.023464121009
1층,C블록,2,8,1층 C블록2열 8,-88,841,-76,1층 C블록2열 5,33.786138381872156,92.20752229993218,3781.925639925889
1층,C블록,2,9,1층 C블록2열 9,-147,840,-76,1층 C블록2열 4,33.675669972718566,91.7434066138368,3749.307278344371
1층,C블록,2,10,1층 C블록2열 10,-206,839,-76,1층 C블록2열 3,33.50264634267173,91.0251103732728,3700.4660933243895
1층,C블록,2,11,1층 C블록2열 11,-265,835,-76,1층 C블록2열 2,33.31575296739651,90.16547342862073,3644.587918772234
1층,C블록,2,12,1층 C블록2열 12,-324,832,-76,1층 C블록2열 1,33.052455001018465,89.00828155624379,3573.1946539419737
1층,D블록,2,1,1층 D블록2열 1,-482,820,-76,1층 B블록2열 10,32.12465769352309,84.76880312223008,3343.5066689560635
1층,D블록,2,2,1층 D블록2열 2,-535,815,-76,1층 B블록2열 9,31.74075712445372,82.96256485810592,3258.0420911716765
1층,D블록,2,3,1층 D블록2열 3,-587,811,-76,1층 B블록2열 8,31.31355322524277,80.96585656707306,3170.298105709939
1층,D블록,2,4,1층 D블록2열 4,-640,804,-76,1층 B블록2열 7,30.878314627673817,78.82235290811352,3083.612728324047
1층,D블록,2,5,1층 D블록2열 5,-692,796,-76,1층 B블록2열 6,30.428780991310475,76.56228347727229,2999.3178317152365
1층,D블록,2,6,1층 D블록2열 6,-744,789,-76,1층 B블록2열 5,29.93424941806379,74.10519954554303,2914.3472087544083
1층,D블록,2,7,1층 D블록2열 7,-796,782,-76,1층 B블록2열 4,29.410010062870448,71.49758444955874,2830.984294886994
1층,D블록,2,8,1층 D블록2열 8,-848,773,-76,1층 B블록2열 3,28.878474161065828,68.79717591544258,2751.7227577009808
1층,D블록,2,9,1층 D블록2열 9,-900,764,-76,1층 B블록2열 2,28.320722864066322,65.98480669388285,2675.317384034966
1층,D블록,2,10,1층 D블록2열 10,-952,756,-76,1층 B블록2열 1,27.731687229531275,63.07817409854682,2601.7475228312887
1층,E블록,2,1,1층 E블록2열 1,-1107,725,-76,1층 A블록2열 9,25.923036217736772,54.2963935526623,2411.130070628625
1층,E블록,2,2,1층 E블록2열 2,-1153,716,-76,1층 A블록2열 8,25.3602664310607,51.71411639289168,2361.7381555516577
1층,E블록,2,3,1층 E블록2열 3,-1200,705,-76,1층 A블록2열 7,24.78656791014728,49.12548826400626,2315.412985976648
1층,E블록,2,4,1층 E블록2열 4,-1246,694,-76,1층 A블록2열 6,24.21864916110054,46.65115103731138,2273.232050287631
1층,E블록,2,5,1층 E블록2열 5,-1293,683,-76,1층 A블록2열 5,23.63173033143033,44.199368829478495,2232.9914170024226
1층,E블록,2,6,1층 E블록2열 6,-1339,671,-76,1층 A블록2열 4,23.05783066270251,41.88189123335856,2196.670961908614
1층,E블록,2,7,1층 E블록2열 7,-1386,659,-76,1층 A블록2열 3,22.467858014149627,39.61110876883228,2161.9201309303235
1층,E블록,2,8,1층 E블록2열 8,-1432,646,-76,1층 A블록2열 2,21.8923365904562,37.48302193855476,2130.4012707756456
1층,E블록,2,9,1층 E블록2열 9,-1478,634,-76,1층 A블록2열 1,21.31492156276599,35.463868387961945,2100.5227298867158
1층,A블록,3,1,1층 A블록3열 1,1503,725,-59,1층 E블록3열 9,20.86057318017322,34.837002208442236,2045.286387012269
1층,A블록,3,2,1층 A블록3열 2,1457,738,-59,1층 E블록3열 8,21.39213730646871,36.77684938382876,2070.9662320407633
1층,A블록,3,3,1층 A블록3열 3,1411,751,-59,1층 E블록3열 7,21.92238769140557,38.806858898036786,2098.304564203599
1층,A블록,3,4,1층 A블록3열 4,1362,764,-59,1층 E블록3열 6,22.486801647763684,41.05893947206694,2129.717934665595
1층,A블록,3,5,1층 A블록3열 5,1315,775,-59,1층 E블록3열 5,23.02973702208031,43.29909482105214,2162.563555470315
1층,A블록,3,6,1층 A블록3열 6,1269,786,-59,1층 E블록3열 4,23.556068479804168,45.566453866530345,2197.099907068055
1층,A블록,3,7,1층 A블록3열 7,1222,798,-59,1층 E블록3열 3,24.083970827333403,47.94671263767986,2234.843912180676
1층,A블록,3,8,1층 A블록3열 8,1172,809,-59,1층 E블록3열 2,24.645356622017214,50.53446785876068,2278.8322694392195
1층,A블록,3,9,1층 A블록3열 9,1125,819,-59,1층 E블록3열 1,25.16571134686815,53.0059900567551,2323.5265031450062
1층,B블록,3,1,1층 B블록3열 1,968,850,-59,1층 D블록3열 10,26.834000119327932,61.31745233514207,2496.6792722805317
1층,B블록,3,2,1층 B블록3열 2,915,858,-59,1층 D블록3열 9,27.380290511557003,64.08531364483161,2563.842339222833
1층,B블록,3,3,1층 B블록3열 3,862,867,-59,1층 D블록3열 8,27.89652395883303,66.76187909240204,2633.4760779243625
1층,B블록,3,4,1층 B블록3열 4,809,876,-59,1층 D블록3열 7,28.387787722889048,69.33254064977498,2705.4330751811663
1층,B블록,3,5,1층 B블록3열 5,756,883,-59,1층 D블록3열 6,28.8722140551939,71.8210723464938,2780.5939569558327
1층,B블록,3,6,1층 B블록3열 6,703,891,-59,1층 D블록3열 5,29.31750192553145,74.14156535962745,2855.734251228507
1층,B블록,3,7,1층 B블록3열 7,650,898,-59,1층 D블록3열 4,29.74249994198543,76.32664099604986,2931.670080337922
1층,B블록,3,8,1층 B블록3열 8,597,905,-59,1층 D블록3열 3,30.134207350971685,78.33731951549044,3006.4715175717624
1층,B블록,3,9,1층 B블록3열 9,544,910,-59,1층 D블록3열 2,30.515563560239077,80.22905393902317,3081.6014359701517
1층,B블록,3,10,1층 B블록3열 10,491,915,-59,1층 D블록3열 1,30.860983656638176,81.93420262431914,3153.768994230304
1층,C블록,3,1,1층 C블록3열 1,330,927,-59,1층 C블록3열 12,31.714548659768976,86.04016674586711,3348.0415966440482
1층,C블록,3,2,1층 C블록3열 2,270,930,-59,1층 C블록3열 11,31.95610772537151,87.1638839877372,3407.1160519845985
1층,C블록,3,3,1층 C블록3열 3,210,934,-59,1층 C블록3열 10,32.12721650936336,87.99494397554122,3453.1100669027724
1층,C블록,3,4,1층 C블록3열 4,150,935,-59,1층 C블록3열 9,32.286268011474505,88.69799623088879,3492.878384064117
1층,C블록,3,5,1층 C블록3열 5,90,936,-59,1층 C블록3열 8,32.387891394594895,89.15234137345882,3519.357570702006
1층,C블록,3,6,1층 C블록3열 6,30,937,-59,1층 C블록3열 7,32.43119641311184,89.35822245094178,3531.6806193214784
1층,C블록,3,7,1층 C블록3열 7,-30,937,-59,1층 C블록3열 6,32.43119641311184,89.35822245094178,3531.6806193214784
1층,C블록,3,8,1층 C블록3열 8,-90,936,-59,1층 C블록3열 5,32.387891394594895,89.15234137345882,3519.3575707020063
1층,C블록,3,9,1층 C블록3열 9,-150,935,-59,1층 C블록3열 4,32.286268011474505,88.69799623088879,3492.878384064117
1층,C블록,3,10,1층 C블록3열 10,-210,934,-59,1층 C블록3열 3,32.12721650936336,87.99494397554122,3453.1100669027724
1층,C블록,3,11,1층 C블록3열 11,-270,930,-59,1층 C블록3열 2,31.95610772537151,87.1638839877372,3407.1160519845985
1층,C블록,3,12,1층 C블록3열 12,-330,927,-59,1층 C블록3열 1,31.714548659768976,86.04016674586711,3348.0415966440482
1층,D블록,3,1,1층 D블록3열 1,-491,915,-59,1층 B블록3열 10,30.860983656638176,81.93420262431914,3153.768994230304
1층,D블록,3,2,1층 D블록3열 2,-544,910,-59,1층 B블록3열 9,30.515563560239077,80.22905393902317,3081.6014359701517
1층,D블록,3,3,1층 D블록3열 3,-597,905,-59,1층 B블록3열 8,30.134207350971685,78.33731951549044,3006.4715175717624
1층,D블록,3,4,1층 D블록3열 4,-650,898,-59,1층 B블록3열 7,29.74249994198543,76.32664099604986,2931.6700803379217
1층,D블록,3,5,1층 D블록3열 5,-703,891,-59,1층 B블록3열 6,29.31750192553145,74.14156535962745,2855.7342512285077
1층,D블록,3,6,1층 D블록3열 6,-756,883,-59,1층 B블록3열 5,28.8722140551939,71.8210723464938,2780.593956955833
1층,D블록,3,7,1층 D블록3열 7,-809,876,-59,1층 B블록3열 4,28.387787722889048,69.33254064977498,2705.433075181166
1층,D블록,3,8,1층 D블록3열 8,-862,867,-59,1층 B블록3열 3,27.89652395883303,66.76187909240204,2633.4760779243625
1층,D블록,3,9,1층 D블록3열 9,-915,858,-59,1층 B블록3열 2,27.380290511557003,64.08531364483161,2563.842339222833
1층,D블록,3,10,1층 D블록3열 10,-968,850,-59,1층 B블록3열 1,26.834000119327932,61.31745233514207,2496.679272280532
1층,E블록,3,1,1층 E블록3열 1,-1125,819,-59,1층 A블록3열 9,25.16571134686815,53.0059900567551,2323.5265031450062
1층,E블록,3,2,1층 E블록3열 2,-1172,809,-59,1층 A블록3열 8,24.645356622017214,50.53446785876068,2278.8322694392195
1층,E블록,3,3,1층 E블록3열 3,-1222,798,-59,1층 A블록3열 7,24.083970827333403,47.94671263767986,2234.8439121806764
1층,E블록,3,4,1층 E블록3열 4,-1269,786,-59,1층 A블록3열 6,23.556068479804168,45.566453866530345,2197.099907068055
1층,E블록,3,5,1층 E블록3열 5,-1315,775,-59,1층 A블록3열 5,23.02973702208031,43.29909482105214,2162.563555470315
1층,E블록,3,6,1층 E블록3열 6,-1362,764,-59,1층 A블록3열 4,22.486801647763684,41.05893947206694,2129.717934665595
1층,E블록,3,7,1층 E블록3열 7,-1411,751,-59,1층 A블록3열 3,21.92238769140557,38.806858898036786,2098.304564203599
1층,E블록,3,8,1층 E블록3열 8,-1457,738,-59,1층 A블록3열 2,21.39213730646871,36.77684938382876,2070.9662320407638
1층,E블록,3,9,1층 E블록3열 9,-1503,725,-59,1층 A블록3열 1,20.86057318017322,34.837002208442236,2045.2863870122692
1층,A블록,4,1,1층 A블록4열 1,1578,803,-42,1층 E블록4열 10,19.874702852233426,32.449081723672165,1972.9171548668492
1층,A블록,4,2,1층 A블록4열 2,1530,816,-42,1층 E블록4열 9,20.388794026235537,34.27956899584267,1994.7882612699875
1층,A블록,4,3,1층 A블록4열 3,1482,830,-42,1층 E블록4열 8,20.900202197562848,36.205309703950974,2017.9101572837787
1층,A블록,4,4,1층 A블록4열 4,1435,844,-42,1층 E블록4열 7,21.3975409450178,38.17295014496125,2042.0662556570198
1층,A블록,4,5,1층 A블록4열 5,1386,856,-42,1층 E블록4열 6,21.920083929903846,40.29068318579823,2069.7136972051126
1층,A블록,4,6,1층 A블록4열 6,1338,867,-42,1층 E블록4열 5,22.43109696832813,42.43828320697543,2099.2072972953833
1층,A블록,4,7,1층 A블록4열 7,1290,879,-42,1층 E블록4열 4,22.933178792239534,44.65461808567647,2130.9368010760563
1층,A블록,4,8,1층 A블록4열 8,1241,891,-42,1층 E블록4열 3,23.439384304732958,46.97145078648202,2166.1630544071454
1층,A블록,4,9,1층 A블록4열 9,1193,902,-42,1층 E블록4열 2,23.93037773416172,49.282839576374776,2203.800199362688
1층,A블록,4,10,1층 A블록4열 10,1144,912,-42,1층 E블록4열 1,24.42866446733066,51.67599830083799,2245.740017532849
1층,B블록,4,1,1층 B블록4열 1,982,943,-42,1층 D블록4열 10,26.003806856358803,59.620526539578975,2407.7724688924554
1층,B블록,4,2,1층 B블록4열 2,929,952,-42,1층 D블록4열 9,26.492458725041537,62.16320537442332,2468.0299635688802
1층,B블록,4,3,1층 B블록4열 3,875,961,-42,1층 D블록4열 8,26.970584433597953,64.68221038871134,2532.150668158237
1층,B블록,4,4,1층 B블록4열 4,822,970,-42,1층 D블록4열 7,27.415160022375073,67.0544995977135,2596.8706245822264
1층,B블록,4,5,1층 B블록4열 5,768,978,-42,1층 D블록4열 6,27.85350654371927,69.37916415050627,2664.7013959327633
1층,B블록,4,6,1층 B블록4열 6,715,985,-42,1층 D블록4열 5,28.2657984250268,71.55194642845943,2732.2800761022913
1층,B블록,4,7,1층 B블록4열 7,661,992,-42,1층 D블록4열 4,28.65854081577626,73.62232876857036,2800.7850047341676
1층,B블록,4,8,1층 B블록4열 8,607,1000,-42,1층 D블록4열 3,29.00868001294074,75.49822258324961,2866.884406450327
1층,B블록,4,9,1층 B블록4열 9,553,1005,-42,1층 D블록4열 2,29.360282333838366,77.29822388117617,2933.5361597885562
1층,B블록,4,10,1층 B블록4열 10,499,1009,-42,1층 D블록4열 1,29.69070645285584,78.95901737995744,2998.27125008191
1층,C블록,4,1,1층 C블록4열 1,335,1022,-42,1층 C블록4열 12,30.463001607989867,82.84971179359066,3165.5535168751703
1층,C블록,4,2,1층 C블록4열 2,274,1025,-42,1층 C블록4열 11,30.68420352445143,83.92625845867191,3215.836712713099
1층,C블록,4,3,1층 C블록4열 3,213,1029,-42,1층 C블록4열 10,30.840333590171205,84.71925904597671,3254.8558570269797
1층,C블록,4,4,1층 C블록4열 4,152,1030,-42,1층 C블록4열 9,30.985926727526003,85.39613196644613,3288.189247484491
1층,C블록,4,5,1층 C블록4열 5,91,1031,-42,1층 C블록4열 8,31.078696536413933,85.8325314192748,3310.284306158248
1층,C블록,4,6,1층 C블록4열 6,30,1032,-42,1층 C블록4열 7,31.11785740881853,86.02808513771862,3320.5349632543616
1층,C블록,4,7,1층 C블록4열 7,-30,1032,-42,1층 C블록4열 6,31.11785740881853,86.02808513771862,3320.534963254361
1층,C블록,4,8,1층 C블록4열 8,-91,1031,-42,1층 C블록4열 5,31.078696536413933,85.8325314192748,3310.284306158248
1층,C블록,4,9,1층 C블록4열 9,-152,1030,-42,1층 C블록4열 4,30.985926727526003,85.39613196644613,3288.189247484491
1층,C블록,4,10,1층 C블록4열 10,-213,1029,-42,1층 C블록4열 3,30.840333590171205,84.71925904597671,3254.8558570269793
1층,C블록,4,11,1층 C블록4열 11,-274,1025,-42,1층 C블록4열 2,30.68420352445143,83.92625845867191,3215.8367127130996
1층,C블록,4,12,1층 C블록4열 12,-335,1022,-42,1층 C블록4열 1,30.463001607989867,82.84971179359066,3165.5535168751703
1층,D블록,4,1,1층 D블록4열 1,-499,1009,-42,1층 B블록4열 10,29.69070645285584,78.95901737995744,2998.27125008191
1층,D블록,4,2,1층 D블록4열 2,-553,1005,-42,1층 B블록4열 9,29.360282333838366,77.29822388117617,2933.5361597885567
1층,D블록,4,3,1층 D블록4열 3,-607,1000,-42,1층 B블록4열 8,29.00868001294074,75.49822258324961,2866.884406450327
1층,D블록,4,4,1층 D블록4열 4,-661,992,-42,1층 B블록4열 7,28.65854081577626,73.62232876857036,2800.7850047341667
1층,D블록,4,5,1층 D블록4열 5,-715,985,-42,1층 B블록4열 6,28.2657984250268,71.55194642845943,2732.2800761022913
1층,D블록,4,6,1층 D블록4열 6,-768,978,-42,1층 B블록4열 5,27.85350654371927,69.37916415050627,2664.701395932763
1층,D블록,4,7,1층 D블록4열 7,-822,970,-42,1층 B블록4열 4,27.415160022375073,67.0544995977135,2596.8706245822264
1층,D블록,4,8,1층 D블록4열 8,-875,961,-42,1층 B블록4열 3,26.970584433597953,64.68221038871134,2532.150668158237
1층,D블록,4,9,1층 D블록4열 9,-929,952,-42,1층 B블록4열 2,26.492458725041537,62.16320537442332,2468.0299635688802
1층,D블록,4,10,1층 D블록4열 10,-982,943,-42,1층 B블록4열 1,26.003806856358803,59.620526539578975,2407.7724688924554
1층,E블록,4,1,1층 E블록4열 1,-1144,912,-42,1층 A블록4열 10,24.42866446733066,51.67599830083799,2245.7400175328485
1층,E블록,4,2,1층 E블록4열 2,-1193,902,-42,1층 A블록4열 9,23.93037773416172,49.282839576374776,2203.8001993626876
1층,E블록,4,3,1층 E블록4열 3,-1241,891,-42,1층 A블록4열 8,23.439384304732958,46.97145078648202,2166.163054407146
1층,E블록,4,4,1층 E블록4열 4,-1290,879,-42,1층 A블록4열 7,22.933178792239534,44.65461808567647,2130.936801076056
1층,E블록,4,5,1층 E블록4열 5,-1338,867,-42,1층 A블록4열 6,22.43109696832813,42.43828320697543,2099.2072972953833
1층,E블록,4,6,1층 E블록4열 6,-1386,856,-42,1층 A블록4열 5,21.920083929903846,40.29068318579823,2069.713697205112
1층,E블록,4,7,1층 E블록4열 7,-1435,844,-42,1층 A블록4열 4,21.3975409450178,38.17295014496125,2042.0662556570198
1층,E블록,4,8,1층 E블록4열 8,-1482,830,-42,1층 A블록4열 3,20.900202197562848,36.205309703950974,2017.9101572837785
1층,E블록,4,9,1층 E블록4열 9,-1530,816,-42,1층 A블록4열 2,20.388794026235537,34.27956899584267,1994.7882612699875
1층,E블록,4,10,1층 E블록4열 10,-1578,803,-42,1층 A블록4열 1,19.874702852233426,32.449081723672165,1972.9171548668492
1층,A블록,5,1,1층 A블록5열 1,1603,894,-24,1층 E블록5열 10,19.47143899751781,32.15067489907658,1931.7277793435865
1층,A블록,5,2,1층 A블록5열 2,1556,908,-24,1층 E블록5열 9,19.935484621004218,33.8618611397525,1950.1018884625373
1층,A블록,5,3,1층 A블록5열 3,1508,921,-24,1층 E블록5열 8,20.410495697504444,35.67369778140694,1970.300810122793
1층,A블록,5,4,1층 A블록5열 4,1460,934,-24,1층 E블록5열 7,20.88310877787338,37.55700543500584,1992.032620021431
1층,A블록,5,5,1층 A블록5열 5,1409,948,-24,1층 E블록5열 6,21.38047171184274,39.63069508531873,2017.0506902294471
1층,A블록,5,6,1층 A블록5열 6,1360,960,-24,1층 E블록5열 5,21.85813214825072,41.68062228979919,2043.5203406804385
1층,A블록,5,7,1층 A블록5열 7,1312,971,-24,1층 E블록5열 4,22.323579698369223,43.74117334348135,2071.958184625443
1층,A블록,5,8,1층 A블록5열 8,1264,983,-24,1층 E블록5열 3,22.777840158901178,45.84538937939162,2102.7758307308764
1층,A블록,5,9,1층 A블록5열 9,1212,995,-24,1층 E블록5열 2,23.265127943342904,48.16047155503564,2139.467658729041
1층,A블록,5,10,1층 A블록5열 10,1163,1005,-24,1층 E블록5열 1,23.7214093209201,50.36880099129525,2177.4387465951286
1층,B블록,5,1,1층 B블록5열 1,997,1037,-24,1층 D블록5열 10,25.192911966132474,57.84725265614945,2328.596948970687
