층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각,좌우시야각,상하시야각,주성분
1층,E블록,1,9,1층 E블록1열 9,-1451,542,-93,1층 A블록1열 1,1551.7132467050735,15.219900047444442,33.94842128206776,-69.51755518210676,3.436010308032837,-738.6570277106282
1층,A블록,2,1,1층 A블록2열 1,1478,634,-76,1층 E블록2열 9,1610.0360244416893,17.696109733377096,32.04370409614626,66.78269760605264,2.705590381667446,-680.3935073965913
1층,A블록,2,2,1층 A블록2열 2,1432,646,-76,1층 E블록2열 8,1572.8051373262997,19.42005881436502,32.35487735438116,65.71903983276206,2.769685515125862,-717.646143612535
1층,A블록,2,3,1층 A블록2열 3,1386,659,-76,1층 E블록2열 7,1536.5718336608934,21.35143528083405,32.62476865281675,64.57036211066774,2.835049131230904,-753.9039938207349
1층,A블록,2,4,1층 A블록2열 4,1339,671,-76,1층 E블록2열 6,1499.645958218139,23.47419782079919,32.897487655705135,63.38362386246729,2.904915875955587,-790.8571558299408
1층,A블록,2,5,1층 A블록2열 5,1293,683,-76,1층 E블록2열 5,1464.2793449338824,25.764278910661737,33.128498815640704,62.15569006984407,2.9751404407948714,-826.2533702629042
1층,A블록,2,6,1층 A블록2열 6,1246,694,-76,1층 E블록2열 4,1428.2604804446562,28.28214363788592,33.35685746838681,60.88296522063103,3.050239684385446,-862.3050629754628
1층,A블록,2,7,1층 A블록2열 7,1200,705,-76,1층 E블록2열 3,1393.8439654423305,30.982195998950385,33.53621532509814,59.56576424655659,3.1256294871655745,-896.7568697516614
1층,A블록,2,8,1층 A블록2열 8,1153,716,-76,1층 E블록2열 2,1359.3531549968905,33.97219006171074,33.6794799194432,58.16018520344063,3.205017746669315,-931.2868541686158
1층,A블록,2,9,1층 A블록2열 9,1107,725,-76,1층 E블록2열 1,1325.4621835420278,37.08416920333321,33.817093969784466,56.7782799131327,3.287056298352718,-965.2188778193344
1층,B블록,2,1,1층 B블록2열 1,952,756,-76,1층 D블록2열 10,1218.0377662453657,49.19470357887536,33.822205150783425,51.54629078329403,3.5773190248807003,-1072.8019587917822
1층,B블록,2,2,1층 B블록2열 2,900,764,-76,1층 D블록2열 9,1182.9928148556105,53.66283621271867,33.71368187209411,49.67244275538945,3.683437564210032,-1107.9051686306261
1층,B블록,2,3,1층 B블록2열 3,848,773,-76,1층 D블록2열 8,1149.9604341019738,58.24596950875117,33.454478254699886,47.64905679469165,3.789395936000736,-1140.9962548992146
1층,B블록,2,4,1층 B블록2열 4,796,782,-76,1층 D블록2열 7,1118.4435613834075,62.837957422656366,33.060189879009,45.50831423832951,3.896340816460934,-1172.570802962427
1층,B블록,2,5,1층 B블록2열 5,744,789,-76,1층 D블록2열 6,1087.1214283602362,67.39603106678143,32.59352037275796,43.31861062600215,4.008783113721758,-1203.949411947192
1층,B블록,2,6,1층 B블록2열 6,692,796,-76,1층 D블록2열 5,1057.4762408678505,71.80111779556437,31.95921826476641,41.00195790079663,4.121356518659485,-1233.6473391194195
1층,B블록,2,7,1층 B블록2열 7,640,804,-76,1층 D블록2열 4,1030.4329187288224,75.91261567514772,31.090348128681644,38.52048748426973,4.229714345529727,-1260.7370212409653
1층,B블록,2,8,1층 B블록2열 8,587,811,-76,1층 D블록2열 3,1004.0249000896342,79.82708391981123,30.034790510152423,35.896935983588364,4.341175574301715,-1287.18663212365
1층,B블록,2,9,1층 B블록2열 9,535,815,-76,1층 D블록2열 2,977.8680892635776,83.48680989481986,28.89407806092276,33.282565296796626,4.45752863678392,-1313.3804694600187
1층,B블록,2,10,1층 B블록2열 10,482,820,-76,1층 D블록2열 1,954.20123663722,86.77468919241224,27.424509686906287,30.44722004390781,4.56831980033236,-1337.075774247288
1층,C블록,2,1,1층 C블록2열 1,324,832,-76,1층 C블록2열 12,896.0892812661024,94.34134424074708,21.39580403158492,21.277086706577677,4.865270431382923,-1395.2241687009393
1층,C블록,2,2,1층 C블록2열 2,265,835,-76,1층 C블록2열 11,879.3327015413449,96.36025757028352,18.49731695260118,17.607630448107262,4.9582130505621285,-1411.9763865815116
1층,C블록,2,3,1층 C블록2열 3,206,839,-76,1층 C블록2열 10,867.2560175634413,97.80486877128888,15.222371011482652,13.794965642975866,5.027433501585145,-1424.0369556437875
1층,C블록,2,4,1층 C블록2열 4,147,840,-76,1층 C블록2열 9,856.145431571062,99.04923717489598,11.827700584956496,9.926245506651703,5.092848034595189,-1435.1273543279274
1층,C블록,2,5,1층 C블록2열 5,88,841,-76,1층 C블록2열 8,849.0,99.83991077199644,8.481368054584193,5.973539679441188,5.135825612252396,-1442.2469945339903
1층,C블록,2,6,1층 C블록2열 6,29,842,-76,1층 C블록2열 7,845.9202090031896,100.18481508498576,5.987950300503558,1.9725903376508596,5.1545744283970265,-1445.304013706756
1층,C블록,2,7,1층 C블록2열 7,-29,842,-76,1층 C블록2열 6,845.9202090031896,100.18481508498576,5.987950300503558,-1.9725903376508596,5.1545744283970265,-1445.3029404861663
1층,C블록,2,8,1층 C블록2열 8,-88,841,-76,1층 C블록2열 5,849.0,99.83991077199644,8.481368054584193,-5.973539679441188,5.135825612252396,-1442.243744530351
1층,C블록,2,9,1층 C블록2열 9,-147,840,-76,1층 C블록2열 4,856.145431571062,99.04923717489598,11.827700584956496,-9.926245506651703,5.092848034595189,-1435.1219537889244
1층,C블록,2,10,1층 C블록2열 10,-206,839,-76,1층 C블록2열 3,867.2560175634413,97.80486877128888,15.222371011482652,-13.794965642975866,5.027433501585145,-1424.0294502632337
1층,C블록,2,11,1층 C블록2열 11,-265,835,-76,1층 C블록2열 2,879.3327015413449,96.36025757028352,18.49731695260118,-17.607630448107262,4.9582130505621285,-1411.9668068572425
1층,C블록,2,12,1층 C블록2열 12,-324,832,-76,1층 C블록2열 1,896.0892812661024,94.34134424074708,21.39580403158492,-21.277086706577677,4.865270431382923,-1395.212592547947
1층,D블록,2,1,1층 D블록2열 1,-482,820,-76,1층 B블록2열 10,954.20123663722,86.77468919241224,27.424509686906287,-30.44722004390781,4.56831980033236,-1337.0592089306977
1층,D블록,2,2,1층 D블록2열 2,-535,815,-76,1층 B블록2열 9,977.8680892635776,83.48680989481986,28.89407806092276,-33.282565296796626,4.45752863678392,-1313.3623615266745
1층,D블록,2,3,1층 D블록2열 3,-587,811,-76,1층 B블록2열 8,1004.0249000896342,79.82708391981123,30.034790510152423,-35.896935983588364,4.341175574301715,-1287.1671017984404
1층,D블록,2,4,1층 D블록2열 4,-640,804,-76,1층 B블록2열 7,1030.4329187288224,75.91261567514772,31.090348128681644,-38.52048748426973,4.229714345529727,-1260.7160635289156
1층,D블록,2,5,1층 D블록2열 5,-692,796,-76,1층 B블록2열 6,1057.4762408678505,71.80111779556437,31.95921826476641,-41.00195790079663,4.121356518659485,-1233.6250313221078
1층,D블록,2,6,1층 D블록2열 6,-744,789,-76,1층 B블록2열 5,1087.1214283602362,67.39603106678143,32.59352037275796,-43.31861062600215,4.008783113721758,-1203.925843736425
1층,D블록,2,7,1층 D블록2열 7,-796,782,-76,1층 B블록2열 4,1118.4435613834075,62.837957422656366,33.060189879009,-45.50831423832951,3.896340816460934,-1172.5460434069807
1층,D블록,2,8,1층 D블록2열 8,-848,773,-76,1층 B블록2열 3,1149.9604341019738,58.24596950875117,33.454478254699886,-47.64905679469165,3.789395936000736,-1140.970330637167
1층,D블록,2,9,1층 D블록2열 9,-900,764,-76,1층 B블록2열 2,1182.9928148556105,53.66283621271867,33.71368187209411,-49.67244275538945,3.683437564210032,-1107.8781435117853
1층,D블록,2,10,1층 D블록2열 10,-952,756,-76,1층 B블록2열 1,1218.0377662453657,49.19470357887536,33.822205150783425,-51.54629078329403,3.5773190248807003,-1072.7739141747481
1층,E블록,2,1,1층 E블록2열 1,-1107,725,-76,1층 A블록2열 9,1325.4621835420278,37.08416920333321,33.817093969784466,-56.7782799131327,3.287056298352718,-965.187986651574
1층,E블록,2,2,1층 E블록2열 2,-1153,716,-76,1층 A블록2열 8,1359.3531549968905,33.97219006171074,33.6794799194432,-58.16018520344063,3.205017746669315,-931.2552111522924
1층,E블록,2,3,1층 E블록2열 3,-1200,705,-76,1층 A블록2열 7,1393.8439654423305,30.982195998950385,33.53621532509814,-59.56576424655659,3.1256294871655745,-896.7244620066762
1층,E블록,2,4,1층 E블록2열 4,-1246,694,-76,1층 A블록2열 6,1428.2604804446562,28.28214363788592,33.35685746838681,-60.88296522063103,3.050239684385446,-862.2719385853744
1층,E블록,2,5,1층 E블록2열 5,-1293,683,-76,1층 A블록2열 5,1464.2793449338824,25.764278910661737,33.128498815640704,-62.15569006984407,2.9751404407948714,-826.2195534256883
1층,E블록,2,6,1층 E블록2열 6,-1339,671,-76,1층 A블록2열 4,1499.645958218139,23.47419782079919,32.897487655705135,-63.38362386246729,2.904915875955587,-790.822670914917
1층,E블록,2,7,1층 E블록2열 7,-1386,659,-76,1층 A블록2열 3,1536.5718336608934,21.35143528083405,32.62476865281675,-64.57036211066774,2.835049131230904,-753.8688632410243
1층,E블록,2,8,1층 E블록2열 8,-1432,646,-76,1층 A블록2열 2,1572.8051373262997,19.42005881436502,32.35487735438116,-65.71903983276206,2.769685515125862,-717.6103880756
1층,E블록,2,9,1층 E블록2열 9,-1478,634,-76,1층 A블록2열 1,1610.0360244416893,17.696109733377096,32.04370409614626,-66.78269760605264,2.705590381667446,-680.3571731589495
1층,A블록,3,1,1층 A블록3열 1,1503,725,-59,1층 E블록3열 9,1669.7649535189078,19.7317249264346,30.25350003500133,64.24879821482664,2.024928600232073,-620.681418283122
1층,A블록,3,2,1층 A블록3열 2,1457,738,-59,1층 E블록3열 8,1634.3114758209342,21.44296823022092,30.45790041164636,63.13686284567887,2.068874719166946,-656.1555100110428
1층,A블록,3,3,1층 A블록3열 3,1411,751,-59,1층 E블록3열 7,1599.5008596434077,23.296085150298392,30.63529273418019,61.97600982983694,2.113920741180787,-690.9886632054355
1층,A블록,3,4,1층 A블록3열 4,1362,764,-59,1층 E블록3열 6,1562.760698251655,25.41081572258345,30.806963682120777,60.7101987241992,2.1636419192839087,-727.7547927957388
1층,A블록,3,5,1층 A블록3열 5,1315,775,-59,1층 E블록3열 5,1527.52446788914,27.56649084702269,30.96651204359573,59.48687513838555,2.2135763799286314,-763.0177672784978
1층,A블록,3,6,1층 A블록3열 6,1269,786,-59,1층 E블록3열 4,1493.8667945971622,29.8476812115264,31.08199217310202,58.226532826317104,2.2634751963901194,-796.7038603671099
1층,A블록,3,7,1층 A블록3열 7,1222,798,-59,1층 E블록3열 3,1460.674159420916,32.36728652667333,31.140306009798728,56.85434576934333,2.314938528672532,-829.9278948090391
1층,A블록,3,8,1층 A블록3열 8,1172,809,-59,1층 E블록3열 2,1425.3231212605792,35.1941410045543,31.19076294677282,55.38372767153369,2.372386353265044,-865.3143809077366
1층,A블록,3,9,1층 A블록3열 9,1125,819,-59,1층 E블록3열 1,1392.7910826825394,38.01878030643527,31.19293507745205,53.94538183353896,2.4278320421547037,-897.8818581310043
1층,B블록,3,1,1층 B블록3열 1,968,850,-59,1층 D블록3열 10,1289.5755115540928,48.46934647508971,30.807090829372505,48.71365879073785,2.622282603215295,-1001.2276112763536
1층,B블록,3,2,1층 B블록3열 2,915,858,-59,1층 D블록3열 9,1255.7348446228607,52.254061517999226,30.56114317300544,46.84136208940944,2.693001622449145,-1035.1149879988031
1층,B블록,3,3,1층 B블록3열 3,862,867,-59,1층 D블록3열 8,1224.015522777387,56.094638767314,30.169949806570465,44.83430994853445,2.7628419254939462,-1066.8806722462077
1층,B블록,3,4,1층 B블록3열 4,809,876,-59,1층 D블록3열 7,1193.8752028583222,59.92212737208023,29.649394002710483,42.72296973040855,2.8326482277517786,-1097.0660696846537
1층,B블록,3,5,1층 B블록3열 5,756,883,-59,1층 D블록3열 6,1163.9183820182582,63.72277125112616,29.056013406372447,40.5692171381312,2.905616435573636,-1127.0668506631957
1층,B블록,3,6,1층 B블록3열 6,703,891,-59,1층 D블록3열 5,1136.4730529141464,67.36764129855193,28.27020872987026,38.27347955596331,2.975848223946495,-1154.552235335552
1층,B블록,3,7,1층 B블록3열 7,650,898,-59,1층 D블록3열 4,1110.1283709553593,70.85760149416893,27.348354479753105,35.898175003245555,3.0465345378405986,-1180.9334466655955
1층,B블록,3,8,1층 B블록3열 8,597,905,-59,1층 D블록3열 3,1085.7785225357886,74.10988853802485,26.23855758718652,33.41157910492345,3.114923274066851,-1205.3146732768416
1층,B블록,3,9,1층 B블록3열 9,544,910,-59,1층 D블록3열 2,1061.8460340369502,77.19397769936448,25.003068115667496,30.871074989628934,3.185200794939987,-1229.2748141737559
1층,B블록,3,10,1층 B블록3열 10,491,915,-59,1층 D블록3열 1,1040.0898999605756,79.98699189673376,23.551776744251217,28.21854168537907,3.2518982935288423,-1251.0523937249611
1층,C블록,3,1,1층 C블록3열 1,330,927,-59,1층 C블록3열 12,985.7535188879622,86.7122278350456,17.84598507106085,19.595071228448337,3.431357342798925,-1305.4162335866574
1층,C블록,3,2,1층 C블록3열 2,270,930,-59,1층 C블록3열 11,970.1963718753024,88.54452821039986,15.226880338510634,16.189206257026942,3.4864468003889644,-1320.9692412054003
1층,C블록,3,3,1층 C블록3열 3,210,934,-59,1층 C블록3열 10,959.1334630800868,89.8747259780522,12.329543777972455,12.671624901389228,3.526711007516786,-1332.0183962343717
1층,C블록,3,4,1층 C블록3열 4,150,935,-59,1층 C블록3열 9,948.7918633715194,91.02152933970083,9.333145032780228,9.114175054791222,3.565200716688475,-1342.3426085890396
1층,C블록,3,5,1층 C블록3열 5,90,936,-59,1층 C블록3열 8,942.1661212334054,91.75671861779988,6.330876593939945,5.492324557127438,3.59030558764944,-1348.9454312711866
1층,C블록,3,6,1층 C블록3열 6,30,937,-59,1층 C블록3열 7,939.334871065692,92.0824634827866,3.921171615466744,1.833816874350222,3.601141381910878,-1351.7545934511506
1층,C블록,3,7,1층 C블록3열 7,-30,937,-59,1층 C블록3열 6,939.334871065692,92.0824634827866,3.921171615466744,-1.833816874350222,3.601141381910878,-1351.7535957325722
1층,C블록,3,8,1층 C블록3열 8,-90,936,-59,1층 C블록3열 5,942.1661212334054,91.75671861779988,6.330876593939945,-5.492324557127438,3.59030558764944,-1348.94244308064
1층,C블록,3,9,1층 C블록3열 9,-150,935,-59,1층 C블록3열 4,948.7918633715194,91.02152933970083,9.333145032780228,-9.114175054791222,3.565200716688475,-1342.3376498704763
1층,C블록,3,10,1층 C블록3열 10,-210,934,-59,1층 C블록3열 3,959.1334630800868,89.8747259780522,12.329543777972455,-12.671624901389228,3.526711007516786,-1332.0115020260369
1층,C블록,3,11,1층 C블록3열 11,-270,930,-59,1층 C블록3열 2,970.1963718753024,88.54452821039986,15.226880338510634,-16.189206257026942,3.4864468003889644,-1320.9604331984096
1층,C블록,3,12,1층 C블록3열 12,-330,927,-59,1층 C블록3열 1,985.7535188879622,86.7122278350456,17.84598507106085,-19.595071228448337,3.431357342798925,-1305.4055725621686
1층,D블록,3,1,1층 D블록3열 1,-491,915,-59,1층 B블록3열 10,1040.0898999605756,79.98699189673376,23.551776744251217,-28.21854168537907,3.2518982935288423,-1251.0370409579082
1층,D블록,3,2,1층 D블록3열 2,-544,910,-59,1층 B블록3열 9,1061.8460340369502,77.19397769936448,25.003068115667496,-30.871074989628934,3.185200794939987,-1229.2580182518307
1층,D블록,3,3,1층 D블록3열 3,-597,905,-59,1층 B블록3열 8,1085.7785225357886,74.10988853802485,26.23855758718652,-33.41157910492345,3.114923274066851,-1205.2964951513889
1층,D블록,3,4,1층 D블록3열 4,-650,898,-59,1층 B블록3열 7,1110.1283709553593,70.85760149416893,27.348354479753105,-35.898175003245555,3.0465345378405986,-1180.9139156662766
1층,D블록,3,5,1층 D블록3열 5,-703,891,-59,1층 B블록3열 6,1136.4730529141464,67.36764129855193,28.27020872987026,-38.27347955596331,2.975848223946495,-1154.5314120122748
1층,D블록,3,6,1층 D블록3열 6,-756,883,-59,1층 B블록3열 5,1163.9183820182582,63.72277125112616,29.056013406372447,-40.5692171381312,2.905616435573636,-1127.0447783056948
1층,D블록,3,7,1층 D블록3열 7,-809,876,-59,1층 B블록3열 4,1193.8752028583222,59.92212737208023,29.649394002710483,-42.72296973040855,2.8326482277517786,-1097.042825542225
1층,D블록,3,8,1층 D블록3열 8,-862,867,-59,1층 B블록3열 3,1224.015522777387,56.094638767314,30.169949806570465,-44.83430994853445,2.7628419254939462,-1066.8562793940087
1층,D블록,3,9,1층 D블록3열 9,-915,858,-59,1층 B블록3열 2,1255.7348446228607,52.254061517999226,30.56114317300544,-46.84136208940944,2.693001622449145,-1035.0895031764971
1층,D블록,3,10,1층 D블록3열 10,-968,850,-59,1층 B블록3열 1,1289.5755115540928,48.46934647508971,30.807090829372505,-48.71365879073785,2.622282603215295,-1001.2011077998792
1층,E블록,3,1,1층 E블록3열 1,-1125,819,-59,1층 A블록3열 9,1392.7910826825394,38.01878030643527,31.19293507745205,-53.94538183353896,2.4278320421547037,-897.8525082485725
1층,E블록,3,2,1층 E블록3열 2,-1172,809,-59,1층 A블록3열 8,1425.3231212605792,35.1941410045543,31.19076294677282,-55.38372767153369,2.372386353265044,-865.2842484693234
1층,E블록,3,3,1층 E블록3열 3,-1222,798,-59,1층 A블록3열 7,1460.674159420916,32.36728652667333,31.140306009798728,-56.85434576934333,2.314938528672532,-829.896962256384
1층,E블록,3,4,1층 E블록3열 4,-1269,786,-59,1층 A블록3열 6,1493.8667945971622,29.8476812115264,31.08199217310202,-58.226532826317104,2.2634751963901194,-796.6721812532584
1층,E블록,3,5,1층 E블록3열 5,-1315,775,-59,1층 A블록3열 5,1527.52446788914,27.56649084702269,30.96651204359573,-59.48687513838555,2.2135763799286314,-762.9854024544445
1층,E블록,3,6,1층 E블록3열 6,-1362,764,-59,1층 A블록3열 4,1562.760698251655,25.41081572258345,30.806963682120777,-60.7101987241992,2.1636419192839087,-727.7217624021372
1층,E블록,3,7,1층 E블록3열 7,-1411,751,-59,1층 A블록3열 3,1599.5008596434077,23.296085150298392,30.63529273418019,-61.97600982983694,2.113920741180787,-690.9549441262435
1층,E블록,3,8,1층 E블록3열 8,-1457,738,-59,1층 A블록3열 2,1634.3114758209342,21.44296823022092,30.45790041164636,-63.13686284567887,2.068874719166946,-656.1211593504553
1층,E블록,3,9,1층 E블록3열 9,-1503,725,-59,1층 A블록3열 1,1669.7649535189078,19.7317249264346,30.25350003500133,-64.24879821482664,2.024928600232073,-620.6464626555986
1층,A블록,4,1,1층 A블록4열 1,1578,803,-42,1층 E블록4열 10,1771.0609814458676,19.70165060194783,28.360974439658072,63.02973157655704,1.3588737918910907,-519.3791238368648
1층,A블록,4,2,1층 A블록4열 2,1530,816,-42,1층 E블록4열 9,1734.5085759372882,21.26831334584007,28.53188004611125,61.92751306414704,1.387515747443205,-555.9493400837978
1층,A블록,4,3,1층 A블록4열 3,1482,830,-42,1층 E블록4열 8,1699.1138867068328,22.976938206265505,28.659500922614505,60.74881920364285,1.416425283099316,-591.3636773800931
