seat,예매여부,좌석 오픈 여부,좌석 별 평균 가격,거래까지걸린시간_시간,거래까지걸린시간_등수,좌석 예매율,층,블록,열,넘버,X,Y,Z,대칭점,무대_밑_좌우시야각,무대_위_좌우시야각,무대가_보이는_면적
1층 A블록1열 7,55,144,26290.909090909092,721.8666666666667,1151.1070061553535,0.3819444444444444,1층,A블록,1,7,1178,613,-93,1층 E블록1열 3,25,50,2403
1층 A블록1열 8,69,152,32043.478260869564,624.9157004830918,1087.4608195268986,0.45394736842105265,1층,A블록,1,8,1133,624,-93,1층 E블록1열 2,26,52,2453
1층 A블록1열 9,82,161,45024.39024390244,525.2032520325204,1036.7694877278932,0.5093167701863354,1층,A블록,1,9,1086,633,-93,1층 E블록1열 1,26,55,2510
1층 A블록20열 1,72,153,11763.888888888889,852.9597222222222,1085.6486345113594,0.47058823529411764,1층,A블록,20,1,1751,2357,285,1층 E블록20열 8,15,29,1751
1층 A블록20열 2,90,160,23433.333333333332,811.0611111111111,960.3081661653553,0.5625,1층,A블록,20,2,1704,2368,285,1층 E블록20열 7,15,30,1758
1층 A블록20열 3,78,141,21551.28205128205,772.1040598290599,878.1543129484513,0.5531914893617021,1층,A블록,20,3,1658,2379,285,1층 E블록20열 6,15,31,1766
1층 A블록20열 4,84,153,14416.666666666666,765.1156746031746,956.3977250003871,0.5490196078431373,1층,A블록,20,4,1612,2390,285,1층 E블록20열 5,15,31,1777
1층 A블록20열 5,82,152,12000.0,748.1195121951218,954.0712593191881,0.5394736842105263,1층,A블록,20,5,1566,2403,285,1층 E블록20열 4,15,32,1789
1층 A블록20열 6,75,145,14293.333333333334,727.96,957.3425108365826,0.5172413793103449,1층,A블록,20,6,1520,2412,285,1층 E블록20열 3,15,32,1802
1층 A블록20열 7,88,151,19704.545454545456,700.3450757575757,869.9887930968893,0.5827814569536424,1층,A블록,20,7,1473,2421,285,1층 E블록20열 2,15,33,1818
1층 A블록20열 8,98,161,19163.26530612245,625.3227891156463,863.7552875455006,0.6086956521739131,1층,A블록,20,8,1426,2431,285,1층 E블록20열 1,15,33,1835
1층 A블록21열 1,77,156,15688.311688311689,813.5175324675324,1052.7216083522817,0.4935897435897436,1층,A블록,21,1,1709,2465,308,1층 E블록21열 7,14,30,1756
1층 A블록21열 2,80,152,17212.5,829.9424999999999,975.4242199279063,0.5263157894736842,1층,A블록,21,2,1664,2476,308,1층 E블록21열 6,15,30,1764
1층 A블록21열 3,81,146,19345.679012345678,893.5195473251028,913.3581798584862,0.5547945205479452,1층,A블록,21,3,1619,2487,308,1층 E블록21열 5,15,31,1774
1층 A블록21열 4,86,157,16104.651162790698,816.7748062015504,967.3114315525609,0.5477707006369427,1층,A블록,21,4,1575,2498,308,1층 E블록21열 4,15,31,1786
1층 A블록21열 5,77,148,20519.48051948052,781.4354978354978,971.0720099013383,0.5202702702702703,1층,A블록,21,5,1530,2507,308,1층 E블록21열 3,15,32,1799
1층 A블록21열 6,85,155,19388.235294117647,751.1696078431372,949.1005773033366,0.5483870967741935,1층,A블록,21,6,1485,2516,308,1층 E블록21열 2,15,32,1814
1층 A블록21열 7,83,152,18325.301204819276,706.2875502008033,931.1988047060837,0.5460526315789473,1층,A블록,21,7,1440,2525,308,1층 E블록21열 1,15,33,1830
1층 A블록22열 1,80,159,17725.0,785.7745833333333,1059.379066758503,0.5031446540880503,1층,A블록,22,1,1726,2558,332,1층 E블록22열 7,14,29,1751
1층 A블록22열 2,71,145,16239.43661971831,830.2568075117371,1005.942321775904,0.4896551724137931,1층,A블록,22,2,1681,2569,332,1층 E블록22열 6,14,29,1760
1층 A블록22열 3,82,155,14207.317073170732,816.8640243902438,1003.0426140109946,0.5290322580645161,1층,A블록,22,3,1637,2580,332,1층 E블록22열 5,14,30,1769
1층 A블록22열 4,78,151,12115.384615384615,773.6162393162393,989.2354992721248,0.5165562913907285,1층,A블록,22,4,1593,2591,332,1층 E블록22열 4,14,30,1781
1층 A블록22열 5,76,146,16250.0,722.3796052631578,949.8179078201945,0.5205479452054794,1층,A블록,22,5,1548,2600,332,1층 E블록22열 3,15,31,1794
1층 A블록22열 6,83,152,22638.55421686747,665.0016064257028,938.0762950534997,0.5460526315789473,1층,A블록,22,6,1503,2609,332,1층 E블록22열 2,15,31,1809
1층 A블록22열 7,91,159,24208.79120879121,692.0375457875458,925.843221095598,0.5723270440251572,1층,A블록,22,7,1458,2618,332,1층 E블록22열 1,15,32,1825
1층 A블록2열 1,63,146,20190.47619047619,840.6148148148148,1090.2902836045403,0.4315068493150685,1층,A블록,2,1,1478,634,-76,1층 E블록2열 9,21,35,2100
1층 A블록2열 2,75,158,20853.333333333332,656.9631111111111,1106.9305170924702,0.47468354430379744,1층,A블록,2,2,1432,646,-76,1층 E블록2열 8,21,37,2130
1층 A블록2열 3,68,147,18485.29411764706,750.6605392156862,1052.261274443813,0.46258503401360546,1층,A블록,2,3,1386,659,-76,1층 E블록2열 7,22,39,2161
1층 A블록2열 4,70,152,23571.428571428572,677.1161904761905,1083.603320020395,0.4605263157894737,1층,A블록,2,4,1339,671,-76,1층 E블록2열 6,23,41,2196
1층 A블록2열 5,73,145,27178.08219178082,640.8643835616438,965.2281552221755,0.503448275862069,1층,A블록,2,5,1293,683,-76,1층 E블록2열 5,23,44,2232
1층 A블록2열 6,75,153,25373.333333333332,679.7753333333334,1022.9653886431754,0.49019607843137253,1층,A블록,2,6,1246,694,-76,1층 E블록2열 4,24,46,2273
1층 A블록2열 7,80,142,40400.0,672.6266666666667,846.5681165874645,0.5633802816901409,1층,A블록,2,7,1200,705,-76,1층 E블록2열 3,24,49,2315
1층 A블록2열 8,94,156,42606.382978723406,610.5248226950355,836.3138828451765,0.6025641025641025,1층,A블록,2,8,1153,716,-76,1층 E블록2열 2,25,51,2361
1층 A블록2열 9,80,146,45400.0,601.8641666666666,879.6112884315042,0.547945205479452,1층,A블록,2,9,1107,725,-76,1층 E블록2열 1,25,54,2411
1층 A블록3열 1,61,146,20688.524590163935,645.9502732240437,1109.739949673305,0.4178082191780822,1층,A블록,3,1,1503,725,-59,1층 E블록3열 9,20,34,2045
1층 A블록3열 2,73,152,20753.424657534248,713.307305936073,1037.4842709905874,0.48026315789473684,1층,A블록,3,2,1457,738,-59,1층 E블록3열 8,21,36,2070
1층 A블록3열 3,79,156,23632.91139240506,729.9175105485233,1015.8993708160303,0.5064102564102564,1층,A블록,3,3,1411,751,-59,1층 E블록3열 7,21,38,2098
1층 A블록3열 4,70,139,30128.571428571428,808.0026190476191,934.0973366030942,0.5035971223021583,1층,A블록,3,4,1362,764,-59,1층 E블록3열 6,22,41,2129
1층 A블록3열 5,86,154,28313.95348837209,642.0281007751938,912.1685744030847,0.5584415584415584,1층,A블록,3,5,1315,775,-59,1층 E블록3열 5,23,43,2162
1층 A블록3열 6,84,152,28642.85714285714,639.8438492063492,899.0360200031818,0.5526315789473685,1층,A블록,3,6,1269,786,-59,1층 E블록3열 4,23,45,2197
1층 A블록3열 7,75,142,28360.0,640.2757777777778,892.6000975135505,0.528169014084507,1층,A블록,3,7,1222,798,-59,1층 E블록3열 3,24,47,2234
1층 A블록3열 8,84,151,30678.571428571428,716.8551587301588,900.4835092874309,0.5562913907284768,1층,A블록,3,8,1172,809,-59,1층 E블록3열 2,24,50,2278
1층 A블록3열 9,97,159,40969.072164948455,672.9512027491409,843.5016873394693,0.610062893081761,1층,A블록,3,9,1125,819,-59,1층 E블록3열 1,25,53,2323
1층 A블록4열 1,65,149,22953.846153846152,835.0633333333333,1099.3794595039822,0.436241610738255,1층,A블록,4,1,1578,803,-42,1층 E블록4열 10,19,32,1972
1층 A블록4열 10,87,153,42275.862068965514,617.0806513409962,890.3377478373295,0.5686274509803921,1층,A블록,4,10,1144,912,-42,1층 E블록4열 1,24,51,2245
1층 A블록4열 2,74,151,32364.864864864863,711.3596846846847,1021.4924745167348,0.4900662251655629,1층,A블록,4,2,1530,816,-42,1층 E블록4열 9,20,34,1994
1층 A블록4열 3,77,151,20272.727272727272,718.2982683982684,975.5337769970577,0.5099337748344371,1층,A블록,4,3,1482,830,-42,1층 E블록4열 8,20,36,2017
1층 A블록4열 4,79,155,26873.41772151899,822.7291139240506,997.2036757384986,0.5096774193548387,1층,A블록,4,4,1435,844,-42,1층 E블록4열 7,21,38,2042
1층 A블록4열 5,77,142,21311.68831168831,729.9023809523809,866.2793477032277,0.5422535211267606,1층,A블록,4,5,1386,856,-42,1층 E블록4열 6,21,40,2069
1층 A블록4열 6,90,154,22788.88888888889,781.595,856.0541834434648,0.5844155844155844,1층,A블록,4,6,1338,867,-42,1층 E블록4열 5,22,42,2099
1층 A블록4열 7,87,146,29298.850574712644,821.917049808429,820.6290279229928,0.5958904109589042,1층,A블록,4,7,1290,879,-42,1층 E블록4열 4,22,44,2130
1층 A블록4열 8,90,148,30822.222222222223,723.21,794.0638848218978,0.6081081081081081,1층,A블록,4,8,1241,891,-42,1층 E블록4열 3,23,46,2166
1층 A블록4열 9,93,147,38172.04301075269,672.4358422939068,738.285039972091,0.6326530612244898,1층,A블록,4,9,1193,902,-42,1층 E블록4열 2,23,49,2203
1층 A블록5열 1,77,156,21818.18181818182,760.3536796536796,1042.8117545476018,0.4935897435897436,1층,A블록,5,1,1603,894,-24,1층 E블록5열 10,19,32,1931
1층 A블록5열 10,87,149,33126.4367816092,573.4088122605364,836.9871442710196,0.5838926174496645,1층,A블록,5,10,1163,1005,-24,1층 E블록5열 1,23,50,2177
1층 A블록5열 2,65,146,19123.076923076922,744.5235897435897,1069.0402358546048,0.4452054794520548,1층,A블록,5,2,1556,908,-24,1층 E블록5열 9,19,33,1950
1층 A블록5열 3,79,155,19506.32911392405,745.3814345991561,1002.5563351129259,0.5096774193548387,1층,A블록,5,3,1508,921,-24,1층 E블록5열 8,20,35,1970
1층 A블록5열 4,79,148,17265.822784810127,780.9172995780591,932.7929749782413,0.5337837837837838,1층,A블록,5,4,1460,934,-24,1층 E블록5열 7,20,37,1992
