,Ãþ,ºí·Ï,¿­,³Ñ¹ö,ÀüÃ¼_ÁÂ¼®,X,Y,Z
48,1Ãþ,Aºí·Ï,2,1,1Ãþ Aºí·Ï2¿­ 1,1478,634,-76
49,1Ãþ,Aºí·Ï,2,2,1Ãþ Aºí·Ï2¿­ 2,1432,646,-76
50,1Ãþ,Aºí·Ï,2,3,1Ãþ Aºí·Ï2¿­ 3,1386,659,-76
51,1Ãþ,Aºí·Ï,2,4,1Ãþ Aºí·Ï2¿­ 4,1339,671,-76
52,1Ãþ,Aºí·Ï,2,5,1Ãþ Aºí·Ï2¿­ 5,1293,683,-76
53,1Ãþ,Aºí·Ï,2,6,1Ãþ Aºí·Ï2¿­ 6,1246,694,-76
54,1Ãþ,Aºí·Ï,2,7,1Ãþ Aºí·Ï2¿­ 7,1200,705,-76
55,1Ãþ,Aºí·Ï,2,8,1Ãþ Aºí·Ï2¿­ 8,1153,716,-76
56,1Ãþ,Aºí·Ï,2,9,1Ãþ Aºí·Ï2¿­ 9,1107,725,-76
57,1Ãþ,Bºí·Ï,2,1,1Ãþ Bºí·Ï2¿­ 1,952,756,-76
58,1Ãþ,Bºí·Ï,2,2,1Ãþ Bºí·Ï2¿­ 2,900,764,-76
59,1Ãþ,Bºí·Ï,2,3,1Ãþ Bºí·Ï2¿­ 3,848,773,-76
60,1Ãþ,Bºí·Ï,2,4,1Ãþ Bºí·Ï2¿­ 4,796,782,-76
61,1Ãþ,Bºí·Ï,2,5,1Ãþ Bºí·Ï2¿­ 5,744,789,-76
62,1Ãþ,Bºí·Ï,2,6,1Ãþ Bºí·Ï2¿­ 6,692,796,-76
63,1Ãþ,Bºí·Ï,2,7,1Ãþ Bºí·Ï2¿­ 7,640,804,-76
64,1Ãþ,Bºí·Ï,2,8,1Ãþ Bºí·Ï2¿­ 8,587,811,-76
65,1Ãþ,Bºí·Ï,2,9,1Ãþ Bºí·Ï2¿­ 9,535,815,-76
66,1Ãþ,Bºí·Ï,2,10,1Ãþ Bºí·Ï2¿­ 10,482,820,-76
67,1Ãþ,Cºí·Ï,2,1,1Ãþ Cºí·Ï2¿­ 1,324,832,-76
68,1Ãþ,Cºí·Ï,2,2,1Ãþ Cºí·Ï2¿­ 2,265,835,-76
69,1Ãþ,Cºí·Ï,2,3,1Ãþ Cºí·Ï2¿­ 3,206,839,-76
70,1Ãþ,Cºí·Ï,2,4,1Ãþ Cºí·Ï2¿­ 4,147,840,-76
71,1Ãþ,Cºí·Ï,2,5,1Ãþ Cºí·Ï2¿­ 5,88,841,-76
72,1Ãþ,Cºí·Ï,2,6,1Ãþ Cºí·Ï2¿­ 6,29,842,-76
73,1Ãþ,Cºí·Ï,2,7,1Ãþ Cºí·Ï2¿­ 7,-29,842,-76
74,1Ãþ,Cºí·Ï,2,8,1Ãþ Cºí·Ï2¿­ 8,-88,841,-76
75,1Ãþ,Cºí·Ï,2,9,1Ãþ Cºí·Ï2¿­ 9,-147,840,-76
76,1Ãþ,Cºí·Ï,2,10,1Ãþ Cºí·Ï2¿­ 10,-206,839,-76
77,1Ãþ,Cºí·Ï,2,11,1Ãþ Cºí·Ï2¿­ 11,-265,835,-76
78,1Ãþ,Cºí·Ï,2,12,1Ãþ Cºí·Ï2¿­ 12,-324,832,-76
79,1Ãþ,Dºí·Ï,2,1,1Ãþ Dºí·Ï2¿­ 1,-482,820,-76
80,1Ãþ,Dºí·Ï,2,2,1Ãþ Dºí·Ï2¿­ 2,-535,815,-76
81,1Ãþ,Dºí·Ï,2,3,1Ãþ Dºí·Ï2¿­ 3,-587,811,-76
82,1Ãþ,Dºí·Ï,2,4,1Ãþ Dºí·Ï2¿­ 4,-640,804,-76
83,1Ãþ,Dºí·Ï,2,5,1Ãþ Dºí·Ï2¿­ 5,-692,796,-76
84,1Ãþ,Dºí·Ï,2,6,1Ãþ Dºí·Ï2¿­ 6,-744,789,-76
85,1Ãþ,Dºí·Ï,2,7,1Ãþ Dºí·Ï2¿­ 7,-796,782,-76
86,1Ãþ,Dºí·Ï,2,8,1Ãþ Dºí·Ï2¿­ 8,-848,773,-76
87,1Ãþ,Dºí·Ï,2,9,1Ãþ Dºí·Ï2¿­ 9,-900,764,-76
88,1Ãþ,Dºí·Ï,2,10,1Ãþ Dºí·Ï2¿­ 10,-952,756,-76
89,1Ãþ,Eºí·Ï,2,1,1Ãþ Eºí·Ï2¿­ 1,-1107,725,-76
90,1Ãþ,Eºí·Ï,2,2,1Ãþ Eºí·Ï2¿­ 2,-1153,716,-76
91,1Ãþ,Eºí·Ï,2,3,1Ãþ Eºí·Ï2¿­ 3,-1200,705,-76
92,1Ãþ,Eºí·Ï,2,4,1Ãþ Eºí·Ï2¿­ 4,-1246,694,-76
93,1Ãþ,Eºí·Ï,2,5,1Ãþ Eºí·Ï2¿­ 5,-1293,683,-76
94,1Ãþ,Eºí·Ï,2,6,1Ãþ Eºí·Ï2¿­ 6,-1339,671,-76
95,1Ãþ,Eºí·Ï,2,7,1Ãþ Eºí·Ï2¿­ 7,-1386,659,-76
96,1Ãþ,Eºí·Ï,2,8,1Ãþ Eºí·Ï2¿­ 8,-1432,646,-76
97,1Ãþ,Eºí·Ï,2,9,1Ãþ Eºí·Ï2¿­ 9,-1478,634,-76
98,1Ãþ,Aºí·Ï,3,1,1Ãþ Aºí·Ï3¿­ 1,1503,725,-59
99,1Ãþ,Aºí·Ï,3,2,1Ãþ Aºí·Ï3¿­ 2,1457,738,-59
100,1Ãþ,Aºí·Ï,3,3,1Ãþ Aºí·Ï3¿­ 3,1411,751,-59
101,1Ãþ,Aºí·Ï,3,4,1Ãþ Aºí·Ï3¿­ 4,1362,764,-59
102,1Ãþ,Aºí·Ï,3,5,1Ãþ Aºí·Ï3¿­ 5,1315,775,-59
103,1Ãþ,Aºí·Ï,3,6,1Ãþ Aºí·Ï3¿­ 6,1269,786,-59
104,1Ãþ,Aºí·Ï,3,7,1Ãþ Aºí·Ï3¿­ 7,1222,798,-59
105,1Ãþ,Aºí·Ï,3,8,1Ãþ Aºí·Ï3¿­ 8,1172,809,-59
106,1Ãþ,Aºí·Ï,3,9,1Ãþ Aºí·Ï3¿­ 9,1125,819,-59
107,1Ãþ,Bºí·Ï,3,1,1Ãþ Bºí·Ï3¿­ 1,968,850,-59
108,1Ãþ,Bºí·Ï,3,2,1Ãþ Bºí·Ï3¿­ 2,915,858,-59
109,1Ãþ,Bºí·Ï,3,3,1Ãþ Bºí·Ï3¿­ 3,862,867,-59
110,1Ãþ,Bºí·Ï,3,4,1Ãþ Bºí·Ï3¿­ 4,809,876,-59
111,1Ãþ,Bºí·Ï,3,5,1Ãþ Bºí·Ï3¿­ 5,756,883,-59
112,1Ãþ,Bºí·Ï,3,6,1Ãþ Bºí·Ï3¿­ 6,703,891,-59
113,1Ãþ,Bºí·Ï,3,7,1Ãþ Bºí·Ï3¿­ 7,650,898,-59
114,1Ãþ,Bºí·Ï,3,8,1Ãþ Bºí·Ï3¿­ 8,597,905,-59
115,1Ãþ,Bºí·Ï,3,9,1Ãþ Bºí·Ï3¿­ 9,544,910,-59
116,1Ãþ,Bºí·Ï,3,10,1Ãþ Bºí·Ï3¿­ 10,491,915,-59
117,1Ãþ,Cºí·Ï,3,1,1Ãþ Cºí·Ï3¿­ 1,330,927,-59
118,1Ãþ,Cºí·Ï,3,2,1Ãþ Cºí·Ï3¿­ 2,270,930,-59
119,1Ãþ,Cºí·Ï,3,3,1Ãþ Cºí·Ï3¿­ 3,210,934,-59
120,1Ãþ,Cºí·Ï,3,4,1Ãþ Cºí·Ï3¿­ 4,150,935,-59
121,1Ãþ,Cºí·Ï,3,5,1Ãþ Cºí·Ï3¿­ 5,90,936,-59
122,1Ãþ,Cºí·Ï,3,6,1Ãþ Cºí·Ï3¿­ 6,30,937,-59
123,1Ãþ,Cºí·Ï,3,7,1Ãþ Cºí·Ï3¿­ 7,-30,937,-59
124,1Ãþ,Cºí·Ï,3,8,1Ãþ Cºí·Ï3¿­ 8,-90,936,-59
125,1Ãþ,Cºí·Ï,3,9,1Ãþ Cºí·Ï3¿­ 9,-150,935,-59
126,1Ãþ,Cºí·Ï,3,10,1Ãþ Cºí·Ï3¿­ 10,-210,934,-59
127,1Ãþ,Cºí·Ï,3,11,1Ãþ Cºí·Ï3¿­ 11,-270,930,-59
128,1Ãþ,Cºí·Ï,3,12,1Ãþ Cºí·Ï3¿­ 12,-330,927,-59
129,1Ãþ,Dºí·Ï,3,1,1Ãþ Dºí·Ï3¿­ 1,-491,915,-59
130,1Ãþ,Dºí·Ï,3,2,1Ãþ Dºí·Ï3¿­ 2,-544,910,-59
131,1Ãþ,Dºí·Ï,3,3,1Ãþ Dºí·Ï3¿­ 3,-597,905,-59
132,1Ãþ,Dºí·Ï,3,4,1Ãþ Dºí·Ï3¿­ 4,-650,898,-59
133,1Ãþ,Dºí·Ï,3,5,1Ãþ Dºí·Ï3¿­ 5,-703,891,-59
134,1Ãþ,Dºí·Ï,3,6,1Ãþ Dºí·Ï3¿­ 6,-756,883,-59
135,1Ãþ,Dºí·Ï,3,7,1Ãþ Dºí·Ï3¿­ 7,-809,876,-59
136,1Ãþ,Dºí·Ï,3,8,1Ãþ Dºí·Ï3¿­ 8,-862,867,-59
137,1Ãþ,Dºí·Ï,3,9,1Ãþ Dºí·Ï3¿­ 9,-915,858,-59
138,1Ãþ,Dºí·Ï,3,10,1Ãþ Dºí·Ï3¿­ 10,-968,850,-59
139,1Ãþ,Eºí·Ï,3,1,1Ãþ Eºí·Ï3¿­ 1,-1125,819,-59
140,1Ãþ,Eºí·Ï,3,2,1Ãþ Eºí·Ï3¿­ 2,-1172,809,-59
141,1Ãþ,Eºí·Ï,3,3,1Ãþ Eºí·Ï3¿­ 3,-1222,798,-59
142,1Ãþ,Eºí·Ï,3,4,1Ãþ Eºí·Ï3¿­ 4,-1269,786,-59
143,1Ãþ,Eºí·Ï,3,5,1Ãþ Eºí·Ï3¿­ 5,-1315,775,-59
144,1Ãþ,Eºí·Ï,3,6,1Ãþ Eºí·Ï3¿­ 6,-1362,764,-59
145,1Ãþ,Eºí·Ï,3,7,1Ãþ Eºí·Ï3¿­ 7,-1411,751,-59
146,1Ãþ,Eºí·Ï,3,8,1Ãþ Eºí·Ï3¿­ 8,-1457,738,-59
147,1Ãþ,Eºí·Ï,3,9,1Ãþ Eºí·Ï3¿­ 9,-1503,725,-59
148,1Ãþ,Aºí·Ï,4,1,1Ãþ Aºí·Ï4¿­ 1,1578,803,-42
149,1Ãþ,Aºí·Ï,4,2,1Ãþ Aºí·Ï4¿­ 2,1530,816,-42
150,1Ãþ,Aºí·Ï,4,3,1Ãþ Aºí·Ï4¿­ 3,1482,830,-42
151,1Ãþ,Aºí·Ï,4,4,1Ãþ Aºí·Ï4¿­ 4,1435,844,-42
152,1Ãþ,Aºí·Ï,4,5,1Ãþ Aºí·Ï4¿­ 5,1386,856,-42
153,1Ãþ,Aºí·Ï,4,6,1Ãþ Aºí·Ï4¿­ 6,1338,867,-42
154,1Ãþ,Aºí·Ï,4,7,1Ãþ Aºí·Ï4¿­ 7,1290,879,-42
155,1Ãþ,Aºí·Ï,4,8,1Ãþ Aºí·Ï4¿­ 8,1241,891,-42
156,1Ãþ,Aºí·Ï,4,9,1Ãþ Aºí·Ï4¿­ 9,1193,902,-42
157,1Ãþ,Aºí·Ï,4,10,1Ãþ Aºí·Ï4¿­ 10,1144,912,-42
158,1Ãþ,Bºí·Ï,4,1,1Ãþ Bºí·Ï4¿­ 1,982,943,-42
159,1Ãþ,Bºí·Ï,4,2,1Ãþ Bºí·Ï4¿­ 2,929,952,-42
160,1Ãþ,Bºí·Ï,4,3,1Ãþ Bºí·Ï4¿­ 3,875,961,-42
161,1Ãþ,Bºí·Ï,4,4,1Ãþ Bºí·Ï4¿­ 4,822,970,-42
162,1Ãþ,Bºí·Ï,4,5,1Ãþ Bºí·Ï4¿­ 5,768,978,-42
163,1Ãþ,Bºí·Ï,4,6,1Ãþ Bºí·Ï4¿­ 6,715,985,-42
164,1Ãþ,Bºí·Ï,4,7,1Ãþ Bºí·Ï4¿­ 7,661,992,-42
165,1Ãþ,Bºí·Ï,4,8,1Ãþ Bºí·Ï4¿­ 8,607,1000,-42
166,1Ãþ,Bºí·Ï,4,9,1Ãþ Bºí·Ï4¿­ 9,553,1005,-42
167,1Ãþ,Bºí·Ï,4,10,1Ãþ Bºí·Ï4¿­ 10,499,1009,-42
168,1Ãþ,Cºí·Ï,4,1,1Ãþ Cºí·Ï4¿­ 1,335,1022,-42
169,1Ãþ,Cºí·Ï,4,2,1Ãþ Cºí·Ï4¿­ 2,274,1025,-42
170,1Ãþ,Cºí·Ï,4,3,1Ãþ Cºí·Ï4¿­ 3,213,1029,-42
171,1Ãþ,Cºí·Ï,4,4,1Ãþ Cºí·Ï4¿­ 4,152,1030,-42
172,1Ãþ,Cºí·Ï,4,5,1Ãþ Cºí·Ï4¿­ 5,91,1031,-42
173,1Ãþ,Cºí·Ï,4,6,1Ãþ Cºí·Ï4¿­ 6,30,1032,-42
174,1Ãþ,Cºí·Ï,4,7,1Ãþ Cºí·Ï4¿­ 7,-30,1032,-42
175,1Ãþ,Cºí·Ï,4,8,1Ãþ Cºí·Ï4¿­ 8,-91,1031,-42
176,1Ãþ,Cºí·Ï,4,9,1Ãþ Cºí·Ï4¿­ 9,-152,1030,-42
177,1Ãþ,Cºí·Ï,4,10,1Ãþ Cºí·Ï4¿­ 10,-213,1029,-42
178,1Ãþ,Cºí·Ï,4,11,1Ãþ Cºí·Ï4¿­ 11,-274,1025,-42
179,1Ãþ,Cºí·Ï,4,12,1Ãþ Cºí·Ï4¿­ 12,-335,1022,-42
180,1Ãþ,Dºí·Ï,4,1,1Ãþ Dºí·Ï4¿­ 1,-499,1009,-42
181,1Ãþ,Dºí·Ï,4,2,1Ãþ Dºí·Ï4¿­ 2,-553,1005,-42
182,1Ãþ,Dºí·Ï,4,3,1Ãþ Dºí·Ï4¿­ 3,-607,1000,-42
183,1Ãþ,Dºí·Ï,4,4,1Ãþ Dºí·Ï4¿­ 4,-661,992,-42
184,1Ãþ,Dºí·Ï,4,5,1Ãþ Dºí·Ï4¿­ 5,-715,985,-42
185,1Ãþ,Dºí·Ï,4,6,1Ãþ Dºí·Ï4¿­ 6,-768,978,-42
186,1Ãþ,Dºí·Ï,4,7,1Ãþ Dºí·Ï4¿­ 7,-822,970,-42
187,1Ãþ,Dºí·Ï,4,8,1Ãþ Dºí·Ï4¿­ 8,-875,961,-42
188,1Ãþ,Dºí·Ï,4,9,1Ãþ Dºí·Ï4¿­ 9,-929,952,-42
189,1Ãþ,Dºí·Ï,4,10,1Ãþ Dºí·Ï4¿­ 10,-982,943,-42
190,1Ãþ,Eºí·Ï,4,1,1Ãþ Eºí·Ï4¿­ 1,-1144,912,-42
191,1Ãþ,Eºí·Ï,4,2,1Ãþ Eºí·Ï4¿­ 2,-1193,902,-42
192,1Ãþ,Eºí·Ï,4,3,1Ãþ Eºí·Ï4¿­ 3,-1241,891,-42
193,1Ãþ,Eºí·Ï,4,4,1Ãþ Eºí·Ï4¿­ 4,-1290,879,-42
194,1Ãþ,Eºí·Ï,4,5,1Ãþ Eºí·Ï4¿­ 5,-1338,867,-42
195,1Ãþ,Eºí·Ï,4,6,1Ãþ Eºí·Ï4¿­ 6,-1386,856,-42
196,1Ãþ,Eºí·Ï,4,7,1Ãþ Eºí·Ï4¿­ 7,-1435,844,-42
197,1Ãþ,Eºí·Ï,4,8,1Ãþ Eºí·Ï4¿­ 8,-1482,830,-42
198,1Ãþ,Eºí·Ï,4,9,1Ãþ Eºí·Ï4¿­ 9,-1530,816,-42
199,1Ãþ,Eºí·Ï,4,10,1Ãþ Eºí·Ï4¿­ 10,-1578,803,-42
200,1Ãþ,Aºí·Ï,5,1,1Ãþ Aºí·Ï5¿­ 1,1603,894,-24
201,1Ãþ,Aºí·Ï,5,2,1Ãþ Aºí·Ï5¿­ 2,1556,908,-24
202,1Ãþ,Aºí·Ï,5,3,1Ãþ Aºí·Ï5¿­ 3,1508,921,-24
203,1Ãþ,Aºí·Ï,5,4,1Ãþ Aºí·Ï5¿­ 4,1460,934,-24
204,1Ãþ,Aºí·Ï,5,5,1Ãþ Aºí·Ï5¿­ 5,1409,948,-24
205,1Ãþ,Aºí·Ï,5,6,1Ãþ Aºí·Ï5¿­ 6,1360,960,-24
206,1Ãþ,Aºí·Ï,5,7,1Ãþ Aºí·Ï5¿­ 7,1312,971,-24
207,1Ãþ,Aºí·Ï,5,8,1Ãþ Aºí·Ï5¿­ 8,1264,983,-24
208,1Ãþ,Aºí·Ï,5,9,1Ãþ Aºí·Ï5¿­ 9,1212,995,-24
209,1Ãþ,Aºí·Ï,5,10,1Ãþ Aºí·Ï5¿­ 10,1163,1005,-24
210,1Ãþ,Bºí·Ï,5,1,1Ãþ Bºí·Ï5¿­ 1,997,1037,-24
211,1Ãþ,Bºí·Ï,5,2,1Ãþ Bºí·Ï5¿­ 2,943,1046,-24
212,1Ãþ,Bºí·Ï,5,3,1Ãþ Bºí·Ï5¿­ 3,889,1055,-24
213,1Ãþ,Bºí·Ï,5,4,1Ãþ Bºí·Ï5¿­ 4,835,1064,-24
214,1Ãþ,Bºí·Ï,5,5,1Ãþ Bºí·Ï5¿­ 5,780,1072,-24
215,1Ãþ,Bºí·Ï,5,6,1Ãþ Bºí·Ï5¿­ 6,726,1079,-24
216,1Ãþ,Bºí·Ï,5,7,1Ãþ Bºí·Ï5¿­ 7,671,1087,-24
217,1Ãþ,Bºí·Ï,5,8,1Ãþ Bºí·Ï5¿­ 8,617,1094,-24
218,1Ãþ,Bºí·Ï,5,9,1Ãþ Bºí·Ï5¿­ 9,562,1099,-24
219,1Ãþ,Bºí·Ï,5,10,1Ãþ Bºí·Ï5¿­ 10,508,1104,-24
220,1Ãþ,Cºí·Ï,5,1,1Ãþ Cºí·Ï5¿­ 1,341,1116,-24
221,1Ãþ,Cºí·Ï,5,2,1Ãþ Cºí·Ï5¿­ 2,279,1120,-24
222,1Ãþ,Cºí·Ï,5,3,1Ãþ Cºí·Ï5¿­ 3,217,1124,-24
223,1Ãþ,Cºí·Ï,5,4,1Ãþ Cºí·Ï5¿­ 4,155,1125,-24
224,1Ãþ,Cºí·Ï,5,5,1Ãþ Cºí·Ï5¿­ 5,93,1126,-24
225,1Ãþ,Cºí·Ï,5,6,1Ãþ Cºí·Ï5¿­ 6,31,1127,-24
226,1Ãþ,Cºí·Ï,5,7,1Ãþ Cºí·Ï5¿­ 7,-31,1127,-24
227,1Ãþ,Cºí·Ï,5,8,1Ãþ Cºí·Ï5¿­ 8,-93,1126,-24
228,1Ãþ,Cºí·Ï,5,9,1Ãþ Cºí·Ï5¿­ 9,-155,1125,-24
229,1Ãþ,Cºí·Ï,5,10,1Ãþ Cºí·Ï5¿­ 10,-217,1124,-24
230,1Ãþ,Cºí·Ï,5,11,1Ãþ Cºí·Ï5¿­ 11,-279,1120,-24
231,1Ãþ,Cºí·Ï,5,12,1Ãþ Cºí·Ï5¿­ 12,-341,1116,-24
232,1Ãþ,Dºí·Ï,5,1,1Ãþ Dºí·Ï5¿­ 1,-508,1104,-24
233,1Ãþ,Dºí·Ï,5,2,1Ãþ Dºí·Ï5¿­ 2,-562,1099,-24
234,1Ãþ,Dºí·Ï,5,3,1Ãþ Dºí·Ï5¿­ 3,-617,1094,-24
235,1Ãþ,Dºí·Ï,5,4,1Ãþ Dºí·Ï5¿­ 4,-671,1087,-24
236,1Ãþ,Dºí·Ï,5,5,1Ãþ Dºí·Ï5¿­ 5,-726,1079,-24
237,1Ãþ,Dºí·Ï,5,6,1Ãþ Dºí·Ï5¿­ 6,-780,1072,-24
238,1Ãþ,Dºí·Ï,5,7,1Ãþ Dºí·Ï5¿­ 7,-835,1064,-24
239,1Ãþ,Dºí·Ï,5,8,1Ãþ Dºí·Ï5¿­ 8,-889,1055,-24
240,1Ãþ,Dºí·Ï,5,9,1Ãþ Dºí·Ï5¿­ 9,-943,1046,-24
241,1Ãþ,Dºí·Ï,5,10,1Ãþ Dºí·Ï5¿­ 10,-997,1037,-24
242,1Ãþ,Eºí·Ï,5,1,1Ãþ Eºí·Ï5¿­ 1,-1163,1005,-24
243,1Ãþ,Eºí·Ï,5,2,1Ãþ Eºí·Ï5¿­ 2,-1212,995,-24
244,1Ãþ,Eºí·Ï,5,3,1Ãþ Eºí·Ï5¿­ 3,-1264,983,-24
245,1Ãþ,Eºí·Ï,5,4,1Ãþ Eºí·Ï5¿­ 4,-1312,971,-24
246,1Ãþ,Eºí·Ï,5,5,1Ãþ Eºí·Ï5¿­ 5,-1360,960,-24
247,1Ãþ,Eºí·Ï,5,6,1Ãþ Eºí·Ï5¿­ 6,-1409,948,-24
248,1Ãþ,Eºí·Ï,5,7,1Ãþ Eºí·Ï5¿­ 7,-1460,934,-24
249,1Ãþ,Eºí·Ï,5,8,1Ãþ Eºí·Ï5¿­ 8,-1508,921,-24
250,1Ãþ,Eºí·Ï,5,9,1Ãþ Eºí·Ï5¿­ 9,-1556,908,-24
251,1Ãþ,Eºí·Ï,5,10,1Ãþ Eºí·Ï5¿­ 10,-1603,894,-24
252,1Ãþ,Aºí·Ï,6,1,1Ãþ Aºí·Ï6¿­ 1,1630,986,-7
253,1Ãþ,Aºí·Ï,6,2,1Ãþ Aºí·Ï6¿­ 2,1580,999,-7
254,1Ãþ,Aºí·Ï,6,3,1Ãþ Aºí·Ï6¿­ 3,1531,1013,-7
255,1Ãþ,Aºí·Ï,6,4,1Ãþ Aºí·Ï6¿­ 4,1481,1028,-7
256,1Ãþ,Aºí·Ï,6,5,1Ãþ Aºí·Ï6¿­ 5,1431,1040,-7
257,1Ãþ,Aºí·Ï,6,6,1Ãþ Aºí·Ï6¿­ 6,1381,1052,-7
258,1Ãþ,Aºí·Ï,6,7,1Ãþ Aºí·Ï6¿­ 7,1331,1064,-7
259,1Ãþ,Aºí·Ï,6,8,1Ãþ Aºí·Ï6¿­ 8,1281,1078,-7
260,1Ãþ,Aºí·Ï,6,9,1Ãþ Aºí·Ï6¿­ 9,1231,1088,-7
261,1Ãþ,Aºí·Ï,6,10,1Ãþ Aºí·Ï6¿­ 10,1180,1098,-7
262,1Ãþ,Bºí·Ï,6,1,1Ãþ Bºí·Ï6¿­ 1,1023,1129,-7
263,1Ãþ,Bºí·Ï,6,2,1Ãþ Bºí·Ï6¿­ 2,971,1138,-7
264,1Ãþ,Bºí·Ï,6,3,1Ãþ Bºí·Ï6¿­ 3,920,1146,-7
265,1Ãþ,Bºí·Ï,6,4,1Ãþ Bºí·Ï6¿­ 4,869,1155,-7
